id.full,VSMOW
A068275,-162.6
A068279,-144
A068280,-115
A131182,-111.6
A131183,-93.2
A144841,-160.8
A144847,-161.6
A172002,-139.9
A172006,-140.6
A172642,-46.9
A172643,-87.4
A177130,-116.4
A177337,-167.9
A180762,-120.6
A187442,-117.9
A187457,-125.4
A187459,-112.5
A188468,-70.8
A188472,-134.6
A188473,-79.3
A189782,-123.5
A191039,-139.6
A191040,-138.5
A198623,-106.4
A198662,-147.1
A198666,-113.2
A198708,-110
A198716,-106.3
A199799,-113.2
A200888,-92.8
A200976,-120.3
A201152,-129
A202521,-126.5
A202572,-110.7
A202577,-110.9
A202578,-90.5
A213146,-120.3
A213802,-142.1
A213820,-106.3
A213822,-117.7
A214073,-147.1
A214297,-127.6
A214315,-143.1
A216983,-132.4
A216984,-144
A216987,-105.3
A217002,-126.8
A217004,-155.8
A218386,-95.5
A218460,-131.7
A218464,-115.9
A218465,-105.1
A218467,-126.3
A218470,-118.6
A221755,-112
A221756,-146.1
A221795,-130.7
A222789,-131.7
A223210,-119.3
A223218,-116.6
A226917,-107.4
A228192,-129.1
A231666,-144.9
A231667,-96.1
A231687,-94.3
A233966,-132.1
A234485,-131.1
A234487,-134.5
A234488,-134.1
A234490,-104.5
A234513,-145
A234518,-126.1
A235932,-94.6
A250182,-137.5
A250184,-114
A250186,-128.2
A254711,-87.1
A254712,-101.4
A259683,-114.5
A290949,-117.6
